mbid	thedomid	thename	location	explanation
57b56c6739a6	UP4P0294	Cow	40-25	-
5d69f15ddb5f	TP6Y4279	Coyopa	47-22	NULL
5038af08fa94	UP4P0296	Coyote	56-35	-
f7c070310592	UP6P1336	Crab	73-05	Remnant of a supernova that was recorded by Chinese and Arab astronomers in 1054 as being visible during daylight for 23 days.
1a7d95b61ecb	UP6P1416	Craits	47-53	A card Game
565ea2e2ee72	UP5P0820	Craniology	66-35	-
57a1101d2d32	TP6P1405	Crazy_Eights	47-06	A card Game
10dfff3c24a7	UP6P1312	Creep	58-51	Creep (2004) is a British slasher film directed by Christopher Smith, starring the German actress Franka Potente. Potente plays Kate, a student who is trapped overnight on the London Underground after missing the last train.
3dc4cd211c68	TP6P1389	Cribbage	78-52	A card Game
d693f9382554	UP5P0812	Criminology	59-57	-
5d6160b92668	TP6P1289	Cropsy	58-42	The Burning tells the story of a mean, drunken caretaker at a summer camp (nicknamed Cropsy, after the huge garden shears he carries) who falls victim to a particularly nasty prank which leaves him horribly burned and disfigured. Following his release from hospital, he returns to his old stamping ground and begins a murder spree.
6e3f8b69462a	TP5Y0215	Crosley_Curtis	67-30	-
e37203ef5b66	TP7P2341	Crow_Nation	62-26	NULL
a997c4bd189f	UP5P0808	Cryptology	49-29	-
02f67a010560	UP5P1052	Cryptosporidiosis	73-25	-
195754800df5	UP5P0758	Cryptozoology	49-47	-
bcba29ac86b0	UP6P1770	Cubana_Air	74-47	Cuba national airline
72da50585120	TP6Y4283	Cumhau	47-16	NULL
dde569498bb5	UP6P1690	Cup_Coral	76-23	NULL
ae611d13ba09	TP6P1779	Cushion_Star	70-38	NULL
8dba3f663a4b	UP6P1704	Cuttlefish	70-33	NULL
5898d6a825cf	UP5P0606	Cyberphobia	76-21	-
454611892eea	UP5P0534	Cyclone	29-49	-
75c0f16d22fc	UP6P1776	Czech_Airlines	74-27	Czech Republic national airline
e8fd68861537	UP4Y0046	DAB	46-07	-
5cbb63c19637	TP5Y0217	Dacia_Logan	38-30	-
da1c453c5155	UP5P0920	Daikaku_Inumura	64-43	-
4de8420ce363	TP5Y0221	Daimler_Dart	30-48	-
bd8cafb6957e	TP6P1229	Daisy	48-38	-
e4de2413634a	AP6P1164	Damascus	76-63	NULL
349c9e233928	TP6Y4411	Danu	65-24	Indian Gods and legendary heroes
3952520fec48	UP6Y4478	Dao	73-15	Chinese gods and mythical heroes
fd62fa6c5045	TP6P1239	Dark_Horse	72-02	-
befa7d6788c5	UP6P1270	Dark_Water	48-45	A 2005 American horror film directed by Walter Salles and starring Jennifer Connelly
9662aea5669e	TP5Y0223	Darrin_Packard	50-48	-
74c887b35099	UP6Y4434	Dasaratha	74-45	Indian Gods and legendary heroes
96f2901dc9a8	TP5Y0225	Datsun_240Z	59-42	-
ffce4453a7f5	TP6Y4273	Dchi	56-20	Chinese gods and mythical heroes
0421e3ff5ee1	TP6P1243	Dead_Of_Night	48-52	1845 film
3681e9662126	AP6P1112	Dead_Stop	78-64	A Stop that is dead
2cb38ee0f51e	UP7P2376	Death_to_Flying_Things	62-23	NULL
53fd9cf5ee98	UP5P0660	Decidophobia	67-27	-
1055fbeabe2c	UP6P1662	Deer_Hunter	64-35	Vietnam War film
7a06273239a8	UP5P0976	Delaware	49-03	-
7575cc500f57	AP6P1179	Delphi	44-62	NULL
475580f34219	UP5P0810	Demonology	71-49	-
753429b1f63d	UP5P0668	Demophobia	29-01	-
174be3cde9d4	UP5P1040	Dengue_Fever	78-05	-
1183ea03ee2b	UP5P0646	Dentophobia	66-49	-
42668f1a5b69	TP5P0873	Denver	66-50	-
a90258f2aa7c	UP5P0816	Dermatology	74-07	-
2fad6ab546b8	UP6P1380	Desmoche	56-03	A card Game
646c718ca2dc	UP5Y0070	DeSoto_Sportsman	38-39	-
59e83d35b0d8	TP5P0625	Des_Moines	40-10	-
61d3066a81ee	TP6Y4347	Devaki	73-24	Indian Gods and legendary heroes
64307c526bfa	TP6Y4409	Dhoute	57-08	Gods of Ancient Egypt
fc97b26e1d41	UP6Y4440	Dhritaraschtras	74-55	Indian Gods and legendary heroes
26c8d1767fce	UP5Y0072	Diamond_Rio	59-33	-
634e0cd60304	TP4P0185	Diethyl_ether	21-40	-
06333b5a7061	UP5P0692	Dikephobia	39-59	-
9a1136171c74	UP4P0220	Dimethylamine	21-35	-
8d0872b30a8a	UP4P0236	Dimethylsulfoxide	21-31	-
ba3dbfcffc51	UP5P0630	Dinophobia	39-03	-
2fdfd7afbfc4	UP6Y4474	Din_Hau	78-19	Chinese gods and mythical heroes
f17497d8596f	TP5P0977	Diphtheria	78-26	-
bbfa8b321d0d	UP5P0574	Dipsophobia	74-11	-
bcce60d9da50	UP5P0930	Discophiliaish	78-11	-
5b9cc2cb4d81	UP6H7536	Disponentgatan	77-07	-
cbf1705315f4	TP6Y4443	Diti	65-16	Indian Gods and legendary heroes
53a863817388	UP6Y4376	Di_kang_Wang	48-57	Chinese gods and mythical heroes
308da957ba2a	TP6P1647	Dobbs	76-52	Character from Joseph Hellers catch-22
0d3141e409cb	TP6P1621	Doc_Daneeka	63-18	Character from Joseph Hellers catch-22
8f96faaca054	UP5Y0074	Dodge_Viper	29-19	-
a56bb3a8823e	UP4P0300	Dog	74-31	-
4424ac8d389a	UP4P0302	Dolphin	21-27	-
4959df8ace2a	TP5H0189	Domherre	65-32	-
0d26d1a61410	UP4P0304	Donkey	74-35	-
baa8e15fa2f0	UP6P1544	Donkey_Kong	71-37	a big hairy ape that throws barrels at Mario
ba0b79399a54	UP6P1578	DOOM	76-19	an early first person shooter for the PC
78af15a33c5b	AP6P1103	Door_Stop	56-61	Objects or devices used to hold a door open or closed, or to prevent said door from opening too widely.
025abf96251c	TP4P0201	Dopamine	SP-02	-
9792e6e3b123	UP5H0176	Dopping	56-59	-
799ee7c0cb81	UP6P1514	Doroboh_Neko	58-21	Thief cat
6fae50a6cd0c	UP7Y4602	Dorogobuzh	77-13	NULL
1ddd6329fc1d	UP5P0914	Dosetsu_Inuyama	39-57	-
01b940f4eff3	UP6P1356	Double_Helix	63-47	Gaseous nebula near the center of our galaxy, which is thought to have been distorted by magnetic torsion into the shape of two connected spirals, akin to the shape of DNA.
e036bfeee59e	TP6Y4461	Dou_Mu	66-34	Chinese gods and mythical heroes
69a843a5e181	UP5P0688	Doxophobia	38-17	-
04da1c75b9fb	UP6P1236	Dracula	46-35	Dracula (1897) is a novel by Irish author Bram Stoker, and the name of the worlds most famous vampire character
5b5cd7a4fb85	UP5P0576	Dragon	50-15	-
4d7af237c3f5	TP6P1255	Dragonsmouth	56-34	A Flower
724f42ef6987	TP6P1365	Dragon_Nebula	58-40	It is cool.
35498bccdf32	UP6Y4290	Draupadi	66-17	Indian Gods and legendary heroes
8c722131fdb2	UP6P1368	Draw_Poker	78-53	A card Game
9fd06abf3e32	UP6P1766	Druk_Air	74-41	Bhutan national airline
929ac56c78a0	TP6P1287	Dr_Caligari	58-48	The film tells the story of the deranged Doctor Caligari and his faithful somnambulist Cesare and their connection to a string of murders in a German mountain village, Holstenwall.
a33fde4a917b	TP6P1313	Dr_Satan	58-54	From House of 1000 Corpses, created by Rob Zombie
684becf71b17	UP6P1628	Dr_Stubbs	63-35	Character from Joseph Hellers catch-22
42e961683903	TP6Y4325	Duat	47-50	Gods of Ancient Egypt
abcfd5e5a352	UP4P0170	Dubbel	21-05	-
6f2a6d70f69e	TP6P1587	Duck_Hunt	63-26	the most popular NES game using the gun attachment; dont let the dog taunt you
4e62947b0e83	TP6P1649	Dunbar	76-14	Character from Joseph Hellers catch-22
a276b86e8cd4	TP6Y4365	Dung_Wang_Kung	73-48	Chinese gods and mythical heroes
7c063b9bee63	UP6P1374	Durak_Card	72-03	A card Game
5da4ddb2f58c	UP6Y4442	Durga	73-49	Indian Gods and legendary heroes
134a3b5ee859	TP5H0175	Duva	64-36	-
1a696d89bdfe	TP6P1335	Eagle	73-26	One of the most famous space objects, and most popular poster images of outer space, often appears in science-fiction movies.
3f0c7f61d176	TP7P2247	Earendil	62-54	NULL
755fc7596d46	UP4P0108	Ebi	21-59	-
2e136b8ace68	TP5P0979	Ebola	78-02	-
1e40b6a84e97	UP5P0756	Ecclesiology	49-49	-
a4bdff4f7bd0	UP5P0664	Ecclesiophobia	29-15	-
35daf4dd3653	UP5Y0078	EDAG_Scoutish	67-29	NULL
b82d400b9173	UP7P2132	Edam	55-31	NULL
e01c838123f6	TP6P1877	Efate	55-20	NULL
49587b6a3026	TP5Y0071	Eichwalde	58-06	-
ed02ce817a2e	TP6Y4479	Eiebt	56-08	Gods of Ancient Egypt
78647ecb9b50	TP6P1449	Eiffel	70-14	object oriented language named for Gustave Eiffel
39d76c21f789	TP6P1349	Eight_burst	73-54	Formed from two stars close together, the fainter one of these that is considered the central star.
c13ace170b26	UP6H7540	Ekedalsgatan	77-33	-
4f5c0991b4fd	TP5H0241	Ekskogen	50-56	-
b24a966c9187	UP5P0712	Electrophobia	38-27	-
0f1ac8f0cacc	UP4P0306	Elephant	73-35	-
1eb997390c7d	UP5P1062	Elephantiasis	56-19	-
8261714f65d8	UP5P0518	Elf	67-03	-
6b2910ec59bc	UP5Y0082	Elfin_Clubman	29-41	-
7b909b9dcd76	TP4P0139	Eliche	49-60	-
178fb493ef75	TP6P1309	Elm_Street	56-24	If Nancy Doesnt Wake Up Screaming She Wont Wake Up At All!
cb127bc2ed6b	UP5P0760	Embryology	72-51	-
5bdfacbbfef4	TP6Y4259	Emeishan	78-24	Chinese gods and mythical heroes
b1598d20281b	UP6P1876	Emek	55-05	NULL
220429d7a7b4	AP6P1100	Emergency_Stop	55-63	On railways, an emergency stop is a full application of the brakes in order to bring a train to a stop as quickly as possible
b81102dc55ae	UP7P2134	Emmental	55-15	NULL
0be7ec07c986	UP6P1504	Endicott_River	67-43	SE Alaska, rises in Muir Glacier
fb29b40cb960	UP5P0724	Enetophobia	74-25	-
6c7b9e1c7fc8	UP6Y4234	Engai	47-41	African Gods and Legendary Heroes
6c7b32bac895	UP4P0188	English_bitter	30-27	-
4b7e5077341a	UP5H0136	Enkelbeckasin	57-53	-
1d28b6000d69	TP5H0203	Ensta	47-56	-
035cd56b0c12	TP5H0139	Entita	56-22	-
feb392361dbd	UP5P0826	Entomology	46-23	-
0fd12d1ac016	UP5P0710	Eosophobia	76-07	-
81f0a16ec914	UP5P0618	Ephebiphobia	29-05	-
2676cdb605b1	AP6P1174	Ephesus	60-64	NULL
30c2b92f9b90	UP5P0782	Epidemiology	56-11	-
c7f5e1b27dd2	UP5P0628	Equinophobia	29-35	-
e326ec8bc13f	UP5P0884	Eremophilia	39-23	-
0912cde99f01	UP5P0678	Ereuthophobia	64-27	-
a767a48cfe8a	UP5P0872	Ergophilia	39-09	-
34bb7d414187	UP5P0598	Ergophobia	65-55	-
1bdc3e9c8b74	TP4H0036	Erik_den_Helige	30-52	-
72fecfd94382	UP4H0017	Erik_Segersaell	21-11	-
38ae7fdfc4c7	UP4H0019	Erik_the_Red	21-09	-
5545dae5d188	TP6P1323	Eskimo	58-12	Also known as the Clown Face nebula, resembles a persons head surrounded by a parka hood, and is visible with a small telescope in the constellation of Gemini.
6b2caaeca32a	TP6P1899	Espiritu_Santo	55-44	NULL
ffd90bddc84e	TP7P2121	Esrom	71-52	NULL
cd573e1e4b1a	UP5Y0084	Essex_6	59-45	-
c8cf49d63eb4	TP6P1787	Estonian_Air	71-58	Estonia national airline
3d10761b2bce	TP6P1319	Eta_Carinae	72-10	A large bright nebula which surrounds the star Eta Carinae, one of the most massive and luminous stars in the galaxy.
6a7d013b1f79	UP5P0500	Etesianish	56-33	-
42850b5eff52	UP6P1774	Ethiopian_Airlines	74-01	Ethiopia national airline
3a4bc102e538	UP5P0814	Ethnology	67-37	-
3fb02132dd71	UP5P0832	Ethnomusicology	63-07	-
d897bae245bb	UP5P0764	Ethology	67-17	-
1eb2e1b3b343	UP6P1824	Eua	55-29	NULL
f7e6ff439090	TP5P0827	Europhilia	46-34	-
f948547cd537	TP6H7547	Evert_Taubes_terrass	77-40	-
0bdaba52437b	UP6P1566	Excite_Bike	76-55	a motocross racing video game for the NES
e4684c0559bd	UP5P0762	Exobiologyish	63-09	-
ab90f2029182	UP5P0504	Fairy	40-19	-
073911129bf8	UP6Y4392	Fara_Maka	70-25	African Gods and Legendary Heroes
92c569d46a6a	UP6Y4310	Faro	55-59	African Gods and Legendary Heroes
3740f1e662c4	UP5H0110	Farsta	29-11	-
9ff882e4a249	TP5H0103	Fasan	57-24	-
700b7bf5876a	TP6P1773	Feather_Duster_Worm	70-42	NULL
bfa834afcdd0	UP5Y0086	Ferrari_Berlinetta	66-01	-
aa9ebf82d2b0	UP4P0310	Ferret	64-55	-
310d32303eba	UP7P2100	Feta	63-41	NULL
809525499e3b	TP4P0119	Fettuccine	38-54	-
f272122cafc2	UP5Y0088	Fiat_124	63-45	-
98913839345b	UP6P1670	Fiddler_On_The_Roof	70-17	Film adaptation of the famous musical
62645a002733	TP4P0141	Fig	21-64	-
e75f8c3cc972	TP6P1541	Final_Fantasy	70-56	the defining RPG series
d251f0ab5fea	UP5H0228	Fingerbulen	47-13	-
3cf84f3cef40	UP5H0226	Finnkobben	57-55	-
4f369ab46dbf	UP6P1208	Firethorn	56-37	Hole 15 Par 5   530 yards
58ec6996919b	TP5H0227	Fiskekobb	47-14	-
9847693c1197	UP6P1382	Five_Crowns	65-03	A card Game
73198bc97075	TP6P1359	Flame	72-18	Part of the Orion Molecular Cloud Complex, a star-forming region that includes the famous Horsehead Nebula.
466e7594495c	UP6P1692	Flame_Scallop	70-29	NULL
dadca34d6e8d	TP5H0229	Flatkobben	57-02	-
10344741a2f6	AP6P1147	Flat_Top	78-63	short haircut brushed straight up and cut flat
a3351b112e57	UP5H0184	Flemingsberg	59-39	-
cf08dc9919da	AP5P0453	Florida	67-64	-
8991a288d2f5	UP6P1226	Flowering_Crab_Apple	48-41	Hole  4 Par 3   240 yards
fc2bb7c46ce5	UP6P1234	Flowering_Peach	65-19	Hole  3 Par 4   350 yards
fc84720f3c66	UP5H0138	Flugsnappare	78-15	-
6f242f105485	TP4P0127	Fluorine	21-54	-
686822b226b8	UP5P0530	Foehn	29-47	-
24e5c2d44074	TP6H7557	Folkskolegatan	77-14	-
3563c3d57e8e	UP6Y4370	Fong_Tsai	47-07	Chinese gods and mythical heroes
737b88a52d11	UP6H7622	Fontina	77-25	NULL
578a44512112	TP6P1919	Fontina_Daosta	76-24	NULL
196d40026bc9	UP5Y0090	Ford_Mustang	50-09	-
9a1637554064	UP4P0312	Fox	38-11	-
1ea82d9a5af0	UP5P0892	Francophilia	39-39	-
46c50860eb1b	UP6P1280	Frankenstein	58-23	Frankensteins monster is a creature first appearing in Mary Shelleys novel, Frankenstein, or The Modern Prometheus.  Frankenstein was the name of the creatures creator, and not the monster itself.
0e391dad60d4	TP5P0945	Frankfort	59-48	-
4a69f7426979	UP6P1250	Freddy_Krueger	48-39	Frederick Charles Krueger is a fictional character from the Nightmare on Elm Street series.  He is an undead serial killer and child killer who can attack his victims supernaturally from within their own dreams & nightmares.
eb0b443e6419	TP6P1411	Free_Cell	71-12	A card Game
09e50581b04b	TP6P1279	Friday_The_13	63-50	Friday the 13th is a 1980 slasher film directed by Sean S. Cunningham and written by Victor Miller, admittedly made to cash in on the success of Halloween, the films theme was to take -mom and apple pie and turn it on its head.
decf0522e827	UP5H0208	Fridhemsplan	57-45	-
e133f6ea4687	TP5Y0123	Friedrichsfelde	30-32	-
4d983ea5297a	TP5Y0095	Friedrichstrasse	38-10	-
eeb05853ee18	UP5P0662	Frigophobia	39-01	-
e3656df2f6ac	UP6P1582	Frogger	76-43	an arcade game where you must navigate a frog across a busy street
26f7bda7946d	TP6P1751	From_Russia_With_Love	73-08	Second Bond Film
6cec72be4562	TP6P1357	Frosty_Leo	58-30	Featured on the cover of the December-94 issue of Physics Today.
e9261df5b2b4	TP6Y4239	Fu	70-18	African Gods and Legendary Heroes
bff0d2d36b56	UP4P0132	Fugu	38-57	-
8a57101b11a5	AP6P1140	Full_Stop	44-61	A punctuation mark indicating the end of a sentence
e531584b2d68	TP6Y4393	Fumu	55-06	African Gods and Legendary Heroes
58effa3e072a	TP6P1897	Funafuti	55-36	NULL
896453b19189	UP4P0106	Fusilli	49-55	-
2eb8ff2da162	TP6Y4473	Fuxing	48-42	Chinese gods and mythical heroes
cb1704b59dd2	TP7Y4611	Gadzhiyevo	77-42	NULL
c0985b8a00de	TP6P1431	Gakona_River	67-54	rises in SE foothills of Alaska Range
9ebd9f9d4c41	UP6H7560	Gallerian	77-03	-
0d7bbbb87f61	UP5H0170	Gamla_stan	50-05	-
12d916cbdf3f	UP5P0624	Gamophobiaish	65-07	-
1b699147c996	UP5P0514	Gargoyle	29-43	-
6b97625c90eb	UP6Y4410	Garuda	65-27	Indian Gods and legendary heroes
b04948f85b45	TP6P1573	Gauntlet	64-38	a fantasy based arcade bame with multiplayer capabilities
452a435e5a05	TP6H7565	Gaveliusgatan	77-16	-
a073a64a7711	UP7Y4610	Gelendzhik	55-19	NULL
aefac00535e2	UP5P0828	Genealogy	49-09	-
2ba62200004d	UP6P1600	General_Scheisskopf	64-07	Character from Joseph Hellers catch-22
1bcbfdd5be25	UP5P0562	Genie	50-03	-
c992e597a438	UP5P0726	Geniophobia	29-03	-
ef089997c7a2	UP5P0916	Genpachi_Inukai	39-11	-
f713a2dc64b1	UP5P0626	Genuphobia	63-03	-
2dfa288fd120	UP5P0928	Georgia	46-17	-
6352ec1fc975	UP7P2174	Geppeto	62-45	NULL
2af4ca92e77b	UP4P0314	Gerbil	46-49	-
ffdd1a8c6dc3	UP5P0886	Germanophilia	59-11	-
ca8cb2087961	UP5H0224	Getkobben	57-01	-
9d79aa0596fd	UP6P1310	Ghost_of_Jupiter	72-47	Named for its similar appearance to the planet.
33f260ff911b	UP6P1730	Giant_Squid	76-49	NULL
3946d2832d8d	UP5P1046	Giardia	78-37	-
e0b0716d897e	UP4P0316	Gibbon	38-13	-
5edab51ff2b5	TP6P1377	Gin_Rummy	65-38	A card Game
006714f851d4	UP4P0318	Giraffe	49-41	-
416e145910ad	TP6Y4433	Girischa	73-14	Indian Gods and legendary heroes
041f7e0f34cc	UP6H7566	Gjutargatan	77-43	-
34c550e31179	UP6Y4254	Gla	47-29	African Gods and Legendary Heroes
9b54b20558bd	UP5P0834	Glaciology	67-11	-
1b03caae2b52	UP5H0104	Glada	46-05	-
7c12d72cb07b	UP7P2256	Glamdring	62-07	NULL
f7178188b3fd	UP5P0702	Globophobia	39-15	-
92b740e30032	UP5P0890	Glossophilia	59-07	-
aa6f56d166a1	UP5P0654	Glossophobia	30-13	-
a48aaec81ca3	TP4P0149	Glycerol	21-36	-
7ac5ba8d796c	UP5Y0092	GMC_Jimmy	46-25	-
f004760c91e6	UP4P0320	Gnu	21-25	-
2869b3f98c1f	UP4P0322	Goat	67-45	-
c4a28dcbd58f	UP6P1658	Godfather_PartII	70-03	Sequel to the Classic Gangster film
da5481089862	TP6P1525	Gogol	70-50	Algol with strings and arrays
ca64bc22dac2	TP6P1227	Golden_Bell	57-60	Hole 12 Par 3   155 yards
a861a18355e1	UP5P0566	Gollum	56-25	-
3d396a345753	UP6Y4306	Gonggong	78-35	Chinese gods and mythical heroes
99ef3857dc52	TP6P1837	Goose_Neck_Barnacle	76-08	NULL
e5a32e8800e3	UP6P1866	Gorgonzola	76-47	NULL
b804e4971533	UP4P0324	Gorilla	40-29	-
1d634e28e3fc	UP7Y4606	Gorodishche	55-53	NULL
6773763ee2c8	UP6P1240	Gothika	58-27	A 2003 horror movie starring Halle Berry and \nPen̩lope Cruz. It was directed by Mathieu Kassovitz. The films tagline was-Just because they are dead doesnt mean they are gone.
9c8d1cec7790	UP6H7568	Gotlandsgatan	77-01	-
bf2a594f2e75	TP7P2143	Gouda	76-58	NULL
f0b144f2799d	TP6P1381	Go_Fish	64-18	A card Game
7f3699e36861	TP6P1655	Grand_Theft_Auto	64-44	a series where you get to steal cars
fe31034a7a59	UP4P0102	Grape	71-59	-
01c997d687a6	UP5P0714	Graphophobia	38-49	-
2774a88da4b0	TP6P1603	Gray	64-16	a color
b188cd497484	TP6P1749	Great_Escape	73-16	American soldiers escape from prison set in WWII
427f23050246	TP5P0887	Great_Rift	73-18	Utah (Largest city = Salt Lake City  )
e6a11ef48199	TP6H7569	Grenljusbacken	77-06	-
1f624b09cea7	UP5P0604	Griffin	63-33	-
638a9047225a	UP4H0025	Grom	30-59	-
345439194e49	TP5Y0073	Grunau	29-32	-
5808e7563c55	TP5Y0109	Grunewald	73-52	-
d5bd499bb9a5	TP7P2145	Gruyere	55-58	NULL
6f2d8701e1ba	UP4P0202	Guacamole	64-51	-
db0a3f475ab7	UP6P1854	Guadalcanal	62-21	NULL
2d10201c633d	TP6Y4477	Guandi	57-52	Chinese gods and mythical heroes
466b54ff9642	UP6Y4298	Guan_Yin	78-27	Chinese gods and mythical heroes
ef81eb7f03f1	TP6P1825	Gulf_Air	74-42	Bahrain national airline
ada28eff60fd	UP6P1464	Gulkana_River	67-49	rises in foothills of Alaska Range
b3950d840546	TP5H0145	Gulkobben	47-08	-
6ddd795c77eb	TP6P1325	Gum	73-20	Named after its discoverer, the Australian astronomer Colin Stanley Gum.
44eb3c619854	UP6P1652	Gus_Wes	76-13	Characters from Joseph Hellers catch-22
df5f9a0010ca	UP5P0838	Gynecology	38-37	-
f648b8647840	TP4P0197	Habanero_pepper	38-50	-
d43401450483	UP5H0102	Hackspett	56-57	-
13215a559856	UP5P0666	Hadephobia	71-47	-
2a377243a13a	UP7Y4568	Haedui	77-09	NULL
6e9d3e508910	UP6P1424	Haihowak	47-59	A card Game
00e0b62040f4	AP6P1171	Halicarnassus	44-63	NULL
19a31737fcbc	UP5H0124	Hallonbergen	39-05	-
48cc7daf6813	UP7P2104	Halloumi	55-17	NULL
c0b5271ce0ee	AP6P1143	Halter_Top	54-63	type of womens clothing supported by a strap around the neck
9ead08e7e9ee	UP4P0206	Hamachi	21-45	-
8194739282af	UP6H7572	Hammargatan	77-29	-
88ea27028958	UP4P0326	Hamster	77-47	-
741fdd5b6111	TP4H0050	Handen	30-50	-
dfe719124098	UP6P1296	Hannibal_Lecter	48-37	Dr. Hannibal -The Cannibal- Lecter is a fictional character appearing in four novels by author Thomas Harris and their film adaptations. He is generally renowned as one of the most fearsome fictional villains ever depicted
c4bd10079c8f	TP6Y4303	Han_Xiangzi	73-22	Chinese gods and mythical heroes
c07f596e7713	UP6Y4424	Hap	57-29	Gods of Ancient Egypt
045707a043f3	UP6Y4382	Hapi	47-51	Gods of Ancient Egypt
ad354f8b32f3	UP6P1404	Happy_Families	78-45	A card Game
57a6cb44117e	AP6P1168	Harappa	68-62	NULL
21a709d3d347	AP6P1104	Hard_Stop	65-63	Hard braking, but not necessarily with locked wheels
9db074a86547	TP6Y4355	Haroeris	57-12	Gods of Ancient Egypt
091be8177ab9	TP5P0889	Harrisburg	67-24	-
92e7a3f4163c	TP5P0861	Hartford	46-46	-
087c5871c6a5	UP5P0542	Haru_Ichiban	39-27	-
78ee8ef4b8bd	TP6Y4265	Hathor	71-10	Gods of Ancient Egypt
99a79e89f5be	TP6Y4415	Hatmehit	47-36	Gods of Ancient Egypt
87ac364c5037	TP7P2117	Havarti	55-40	NULL
ef911a352f96	UP5H0140	Havssula	64-09	-
03f964a55891	UP5P0934	Hawaii	56-01	-
56c6735ba392	TP6Y4419	Hayagriva	47-20	Indian Gods and legendary heroes
bcab3085470b	UP6P1728	Headshield_Slug	76-03	NULL
e3165c2f8dc6	TP6P1369	Hearts_Card	78-36	A card Game
1b955f41b088	UP4P0328	Hedgehog	74-15	-
e67fc44cdb49	UP6H7578	Hedinsgatan	77-19	NULL
fc11ec76b61c	UP5P0716	Hedonophobia	29-23	-
ea744ec6f054	TP5Y0155	Heerstrassa	38-26	-
3bae5c0c88b3	TP5P0871	Helena	40-12	-
02496b7fcac7	UP5P0910	Heliophilia	59-35	-
ffa332fbf3a4	UP5P0684	Heliophobia	29-37	-
173ce1549a47	AP4P0077	Helium	29-62	-
ae57c82c3a6b	TP6P1341	Helix	72-08	Also referred to as the Eye of God or the Eye of Sauron.
3bb68c519bde	TP5P0797	Helminthology	46-56	-
d37f9d3eed13	UP5P0600	Hemaphobia	39-45	-
d2bff636c954	UP5P0852	Hematology	64-11	-
8d933a87b1cf	UP5P0844	Hemophilia	71-15	-
33cd5c0ad73e	TP6Y4465	Hengshan	57-04	Chinese gods and mythical heroes
0174782517fd	TP5P0891	Henize_70	64-24	North Dakota (Largest city = Fargo  )
f39603f186e5	TP5P0985	Hepatitis	78-32	-
d181926b5aec	UP5P0748	Herbology	63-19	-
c8ea2f91956e	UP5H0134	Hermannskobb	56-07	-
b7457b524774	UP6P1732	Hermit_Crab	76-11	NULL
45f49f30d235	UP5P0742	Heterophobia	29-39	-
eb2ab3f0102b	TP6Y4249	He_Xiangu	78-28	Chinese gods and mythical heroes
bd483327b420	UP6Y4476	He_Xian_ku	57-09	Chinese gods and mythical heroes
787bfc0b3113	AP6P1133	High_Top	73-64	sneakers that lace up to the ankle
fd580731607f	AP6P1152	Hill_Top	55-61	the top of a hill
aad2afa683f5	UP5P0570	Hippogriff	39-43	-
8b56bf63b908	UP5P0888	Hippophilia	39-07	-
e9ca36873110	UP4P0330	Hippopotamus	30-11	-
d667d8e59b37	UP5P0876	Hispanophilia	67-39	-
b7c975894b30	TP6P1865	Hiva_Oa	55-18	NULL
cb5d0a5f04c9	TP5H0117	Hjulsta	50-50	-
667f78126c95	UP5P0610	Hobbit	66-23	-
76716b1074c1	UP5P0648	Hobophobia	29-29	-
52cae978ebb0	UP5P0690	Hodophobia	56-53	-
e44c73438cb0	TP6P1497	Hogatza_River	67-50	rises in S foothills of Brooks Range
285a18012b58	TP5Y0127	Hohenschonhausen	74-16	-
71a42a850fd5	UP6P1206	Holly	57-23	Hole 18 Par 4   465 yards
46f464278872	UP6P1326	Homonculus	58-37	Latin for Little Man, this small nebula is within Eta Carinae nebula.
ec503421bc8e	UP5Y0094	Honda_Civic	71-01	-
486169ce3c77	AP5P0454	Honolulu	57-62	-
fb70f515f92f	TP5Y0141	Honow	38-18	-
ba165cd85421	UP5P0882	Hoplophilia	58-09	-
ea77cadf370a	UP5P0736	Hoplophobia	59-15	-
cb8f98cd5f48	UP5P0776	Horology	50-11	-
5673b2f9ba6f	TP6P1247	Horror1	56-38	no
ff81f11d555e	UP4P0332	Horse	64-25	-
62481b3949e9	UP5H0142	Horsten	56-27	-
833589cbee50	UP6P1318	Hourglass	73-45	It is conjectured that the hourglass shape is produced by the expansion of a fast stellar wind within a slowly expanding cloud which is denser near its equator than its poles.
f158c8761a37	UP6Y4464	Houtu	56-09	Chinese gods and mythical heroes
92110d8bc5a5	UP6Y4470	Hou_I	66-27	Chinese gods and mythical heroes
f3509170c213	UP6Y4458	Ho_Tai	73-59	Chinese gods and mythical heroes
8e529af3f562	TP6Y4267	Huangdi	78-54	Chinese gods and mythical heroes
4c374b876b97	TP6Y4471	Huashan	66-38	Chinese gods and mythical heroes
07dfecb0394d	UP5Y0096	Hudson_Hornet	67-33	-
5ee4df1dcf87	TP6Y4343	Huehueteotl	72-36	NULL
c86b435002ae	TP6Y4353	Hui_Lu	66-32	Chinese gods and mythical heroes
bcd324dddc3d	UP5Y0098	Hummer_H2	38-03	-
b3389a26c53e	TP6Y4305	Hunab_Ku	72-04	NULL
d21e3707602f	UP5H0222	Hundgrundet	72-37	-
9776b1381708	UP6Y4374	Hun_Nal	47-03	NULL
37dcda20ef10	UP6P1650	Huple	76-53	Character from Joseph Hellers catch-22
f8b4aa5ade15	TP6Y4307	Huracan	47-42	NULL
